Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
Flatbasset	1	2	0	4	0	1	2	2	0	0	0	2	4	0	0	1	0	0	1	0	3	0	0	0	2	3	1	2	0	2	4	5	0	8	0	2	6	0	0	0	0	0	1	1	1	1	14	3	3	1	3	0	0	2	2	4	1	0	0	10	5	0	1	2	1	0	3	0	0	6	5	0	1	1	1	5	7	2	0	1	1	2	2	3	2	1	0	2	0	0	2	0	2	0	0	3	0	10	0	1	2	0	0	0	0	2	2	4	1	1	2	2	10	1	0	0	1	3	0	12	1	1	6	0	15	6	0	2	3	0	6	1	3	0	0	0	2	1	0	1	0	0	0	2	1	1	0	2	1	8	0	0	1	3	2	1	1	0	1	5	0	4	0	0	6	0	2	3	2	3	4	2	2	0	2	6	0	0	0	3	4	0	0	2	0	1	14	0	4	3	0	0	0	4	0	0	0	0	1	2	2	1	0	4	1	0	2	0	1	0	1	4	3	1	0	1	0	8	0	9	1	2	3	0	1	2	5	0	2	6	0	1	2	1	4	1	0	2	0	0	6	2	0	0	0	1	3	1	2	1	0	0	1	1	2	15	0	2	2	0	0	1	0	0	0	6	1	0	3	2	24	4	5	1	0	2	3	1	2	5	1	2	3	4	0	6	1	0	1	0	3	0	2	3	0	0	2	3	0	5	3	1	0	0	7	4	0	0	0	1	0	0	0	0	2	2	0	17	1	1	4	1	1	0	1	2	1	2	1	7	1	0	1	4	1	0	3	1	0	2	17	3	1	0	3	0	0	0	1	0	1	6	1	0	2	8	2	8	5	1	7	9	1	1	1	7	1	4	0	1	0	5	0	2	2	0	2	1	38	0	1	8	3	0	0	0	3	7	0	10	0	4	0	3	2	0	2	1	0	10	5	3	3	2	20	0	0	0	0	0	13	0	3	4	1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	3	3	1	0	1	0	0	1	0	0	12	10	0	1	1	8	3	5	11	1	0	0	21	2	4	0	0	0	4	0	3	0	7	0	2	0	7	2	0	2	0	4	0	0	0	1	0	2	0	1	0	2	0	9	3	0	0	0	6	0	6	0	0	1	5	2	0	6	0	0	1
CRUZANDO EL UNIVERSO...	0	0	0	0	0	0	0	0	1	0	5	0	0	0	10	0	1	0	0	0	1	2	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	2	0	0	1	0	0	1	1	0	0	0	1	0	0	2	6	0	1	0	0	0	0	0	0	0	0	26	0	0	1	0	0	0	1	5	0	5	1	0	0	0	0	1	0	0	0	1	3	2	0	9	0	0	8	0	0	0	0	3	1	0	0	0	1	0	4	0	0	0	0	7	3	0	0	0	0	0	11	0	2	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	1	121	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	2	0	2	2	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	2	6	0	1	0	0	6	0	0	0	0	0	5	0	1	5	0	0	0	0	0	0	0	0	2	0	0	0	6	5	0	4	1	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	11	1	0	0	0	1	0	0	7	0	0	0	3	142	0	0	0	0	0	0	0	0	5	0	3	0	1	2	2	0	0	2	0	0	0	0	4	0	5	0	0	2	0	9	2	0	0	0	5	4	1	0	0	15	0	5	0	0	0	0	0	2	0	0	0	0	0	1	0	72	12	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	3	0	0	0	0	1	0	0	6	1	0	1	0	2	0	0	8	1	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	323	0	0	0	3	0	0	0	1	11	6	0	8	0	0	1	0	0	1	133	105	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
Riley Haas' blog	4	0	0	1	0	3	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	14	3	0	0	0	2	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	2	0	2	0	4	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	11	1	1	8	0	0	0	4	2	0	0	1	0	0	1	0	0	4	7	2	0	1	0	2	1	1	0	0	0	3	0	1	0	1	2	0	1	0	0	0	2	1	1	0	0	1	1	3	0	6	0	0	5	0	8	0	0	0	2	0	0	0	2	0	0	6	0	0	1	3	1	0	2	0	0	0	1	1	0	9	0	1	0	1	0	0	0	0	1	0	2	1	6	1	1	1	2	0	0	1	0	3	0	10	1	1	1	0	0	1	6	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	2	3	1	0	0	2	0	4	0	2	3	0	0	1	0	0	6	0	0	0	0	0	2	3	0	4	0	0	0	0	0	0	0	2	2	1	2	0	1	0	3	6	0	0	1	1	0	3	0	0	0	0	0	3	0	7	2	0	0	0	8	0	0	18	0	9	0	0	0	0	1	0	1	0	0	2	0	0	0	9	0	0	1	6	16	1	0	0	1	0	2	0	2	1	0	9	1	0	2	1	15	1	0	0	2	0	0	0	0	5	2	1	0	0	3	3	1	3	1	1	1	0	2	0	14	2	0	0	0	1	0	0	0	0	1	0	1	3	0	1	1	0	0	1	0	0	4	0	0	0	3	2	5	0	1	0	0	3	0	0	2	2	2	5	0	0	0	0	0	7	4	0	2	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	2	2	0	3	1	2	2	1	0	2	0	0	0	1	1	0	1	0	0	0	3	9	3	2	0	4	5	1	5	5	0	0	1	0	1	2	0	0	0	2	0	0	3	0	0	0	1	9	0	2	2	7	2	2	1	0	0	1	0	0	0	2	1	2	0	1	0	0	8	1	6	2	1	1	8	0	3	0	1	1	1
(Insert World Problem Here) Sucks.	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0
SEM REGRAS	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	3	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	25	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	4	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	2	0	1	1	3	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	10	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	0
Pithy Title Here	10	3	0	1	13	13	7	1	8	6	12	3	7	17	8	2	1	1	0	0	0	12	3	5	5	5	4	4	0	3	2	22	5	9	1	3	11	7	0	0	0	2	6	6	11	4	16	0	6	8	5	1	3	9	0	2	3	7	2	7	6	1	12	2	2	3	18	5	1	3	3	7	3	3	12	1	22	9	12	5	4	2	1	13	4	4	7	0	0	2	2	2	3	1	10	8	5	1	0	2	1	14	4	0	3	2	4	15	6	5	4	6	5	1	2	2	27	3	4	4	3	2	11	1	37	19	2	5	14	0	7	12	9	2	4	0	2	2	5	0	0	4	0	0	3	3	2	5	0	1	0	3	5	1	1	13	6	5	10	7	2	6	0	0	9	10	5	7	3	6	0	12	0	3	5	16	8	1	21	3	2	1	3	0	4	14	12	8	7	5	0	0	0	8	3	2	0	5	4	4	8	0	1	30	2	4	7	4	7	10	2	0	27	4	5	2	3	1	0	11	1	6	6	3	7	6	6	2	0	21	2	7	17	4	0	4	1	9	6	0	1	0	0	7	2	4	0	0	0	1	0	3	1	4	5	5	5	1	4	3	1	2	0	1	6	4	12	6	16	0	39	2	13	1	5	1	1	10	5	1	2	21	1	3	3	13	7	9	0	1	6	3	1	27	3	2	2	0	0	0	1	3	0	0	0	11	0	4	1	0	4	13	0	0	19	2	0	20	4	1	6	1	5	0	0	7	1	2	5	2	1	1	1	7	0	4	9	5	1	12	18	0	0	9	2	5	2	2	6	6	0	6	11	3	18	5	5	0	15	2	1	0	7	5	4	0	5	1	5	5	4	8	3	4	4	3	8	2	8	8	15	0	6	1	5	2	7	10	5	15	3	27	2	13	0	2	12	0	3	22	24	2	26	1	0	4	2	0	3	3	0	3	1	17	0	3	1	0	0	12	10	1	0	3	4	4	11	4	1	1	0	5	0	9	3	3	5	3	2	24	3	1	17	2	16	7	3	13	4	0	1	3	4	7	4	3	3	13	1	7	3	13	4	0	3	26	8	1	3	1	15	2	5	3	6	0	6	0	18	2	0	1	32	2	4	0	0	29	1	11	4	0	5	12	7	19	1	30	10	5
MTJR RANTS & RAVES ON MUSIC	5	7	0	1	3	5	2	22	1	5	11	4	30	3	6	4	8	15	7	10	5	5	7	29	3	18	6	17	8	23	1	7	1	2	2	8	10	5	18	4	6	54	4	14	17	0	56	21	20	9	4	2	3	9	12	25	11	6	1	9	7	9	0	4	13	5	21	2	1	34	9	12	82	1	19	14	1	13	3	1	4	2	2	4	18	18	1	13	9	28	33	9	3	8	0	11	29	4	13	6	11	3	0	8	2	5	3	1	3	3	38	8	23	2	1	5	6	7	2	5	3	3	63	10	9	13	4	15	17	5	10	9	3	0	4	1	1	4	13	2	2	2	3	1	2	9	16	1	11	5	0	1	28	7	1	12	2	1	4	10	1	5	0	1	23	3	9	8	7	6	4	1	11	3	10	34	8	2	8	21	18	3	6	4	8	35	30	1	6	5	2	4	6	2	3	3	3	9	27	12	7	8	3	24	3	4	2	16	9	2	4	25	10	13	9	21	5	2	2	34	9	4	4	2	6	8	14	3	1	13	14	14	0	12	8	7	4	14	3	2	4	10	1	0	11	1	5	16	9	1	3	3	5	4	0	8	2	24	0	2	5	6	6	5	5	0	10	2	7	1	3	5	72	6	16	10	15	4	10	8	2	7	6	20	1	10	4	4	3	1	16	9	1	10	9	4	6	42	8	13	4	4	14	4	6	1	0	14	11	18	4	2	3	5	11	0	4	2	10	3	13	10	1	8	13	5	2	5	8	2	6	4	3	6	6	2	24	0	2	9	8	52	0	58	1	1	2	3	6	1	24	2	5	1	3	6	1	1	4	19	10	2	1	2	11	8	4	3	29	4	4	2	2	4	17	6	23	2	65	2	2	11	5	3	4	5	4	14	0	12	2	58	0	14	2	23	8	1	6	11	15	3	23	5	2	6	2	8	6	2	8	0	21	7	48	12	15	110	4	7	9	5	2	4	14	3	8	3	2	8	8	0	3	39	9	7	1	55	6	29	1	2	4	9	3	2	11	18	9	4	27	53	39	16	4	81	3	10	2	1	1	16	1	1	2	11	2	3	82	0	8	6	7	3	4	10	9	6	2	7	4	8	45	31	1	5	4	3	24	6	12	2	1	6	1	12	6	5	2	6
MARISOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My Name Is Blue Canary	10	3	0	4	1	3	3	1	0	5	4	0	0	6	0	5	0	0	1	0	2	10	3	1	0	1	7	2	1	4	3	22	2	0	0	6	0	0	0	4	0	0	0	4	1	1	6	8	5	6	3	4	0	2	3	0	0	1	2	4	1	0	0	1	0	3	3	2	2	1	0	0	0	4	1	0	4	2	1	1	0	1	3	0	0	1	0	0	0	1	13	0	0	0	7	1	4	7	2	4	1	20	5	0	2	0	0	5	1	0	1	0	0	5	4	4	8	0	0	3	0	2	5	0	8	7	4	0	0	0	0	3	3	3	3	1	1	1	0	1	0	0	1	0	1	2	0	0	0	0	1	3	3	5	4	13	3	2	0	1	0	2	4	1	4	0	11	0	0	0	1	2	1	4	1	4	2	0	0	0	3	1	0	3	0	4	7	0	2	1	0	0	0	2	0	0	1	3	1	1	0	0	1	10	1	8	1	22	0	1	0	2	8	4	1	20	0	0	0	6	0	4	4	1	2	2	5	2	0	19	0	3	4	1	1	5	6	9	0	0	0	2	0	0	5	0	1	4	0	1	1	1	0	2	1	2	0	2	5	1	0	3	0	2	2	1	0	3	4	0	19	0	8	2	0	0	0	3	0	5	1	4	5	10	1	2	4	0	0	0	17	3	5	15	0	3	3	9	1	1	3	0	0	0	0	3	2	3	1	0	1	1	0	0	9	0	0	1	1	0	1	1	2	0	11	2	0	1	3	0	1	1	0	4	1	1	2	3	0	12	1	8	5	3	2	0	0	0	2	5	4	1	40	0	3	0	0	0	1	3	3	0	0	1	1	2	5	0	13	2	2	4	0	3	5	1	2	1	0	3	0	1	12	3	0	0	8	19	1	3	3	13	1	13	0	0	1	0	2	3	4	1	13	0	2	3	0	1	0	2	0	1	1	13	0	10	0	1	0	1	33	0	1	2	0	4	3	4	3	4	0	0	8	2	0	5	1	0	0	4	0	3	3	1	9	10	4	6	5	0	1	0	1	26	0	1	3	6	2	0	8	7	0	2	3	5	3	3	4	0	4	1	2	0	1	1	4	0	1	1	0	0	13	10	4	0	1	18	9	2	1	2	6	4	1	3	5	2	3	5
Brian's Music Blog!!!	0	6	0	0	0	0	0	6	2	1	0	1	5	0	0	2	0	0	0	0	0	0	1	1	0	0	2	1	0	4	0	1	0	0	0	1	4	0	0	0	0	0	0	1	3	0	8	0	1	0	1	1	0	0	0	0	0	5	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	8	0	3	0	0	0	0	2	0	2	0	0	0	0	0	2	0	6	0	0	0	0	2	1	1	0	0	0	0	1	0	3	0	2	0	1	3	3	2	1	1	0	1	0	1	0	0	0	3	2	1	2	1	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	4	6	0	1	0	0	0	3	0	0	1	1	0	3	3	1	0	0	1	3	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	2	2	1	0	1	1	0	1	2	1	1	0	0	0	1	0	6	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	3	0	0	0	1	0	0	0	1	0	0	0	0	2	0	2	0	0	2	1	4	3	2	0	11	1	2	0	0	4	1	0	0	0	0	2	4	1	0	1	0	0	1	1	0	1	1	2	8	0	1	0	0	0	0	0	1	8	1	1	0	0	0	1	0	0	1	0	0	3	0	0	0	2	4	1	3	0	3	5	1	1	1	8	2	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	2	2	1	0	0	0	0	0	1	1	1	1	11	0	0	2	1	0	0	0	3	1	0	2	0	1	0	1	11	1	6	0	0	0	3	6	2	1	2	0	0	1	1	1	2	0	0	5	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	2	1	2	9	5	6	0	2	1	0	3	1	0	3	0	1	2	1	0	0	0	0	0	1	1	0	0	0	0	0	7	0	5	1	1	0	6	0	1	0	0	0	0	0	0	0	0	2	0	1	0	7	0	3	0	1	0	0	10	1	2	0	2	1	0	0	0	1	3	0	0
